date_log,session_id,client_id,ip_address,user_agent,search_query,filters,results_count,page_number,action
2025-02-05T10:31:19,SES-2023-1162,108,131.154.33.53,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-02-15"", ""categorie"": ""Sport""}",29,1,view_results
2025-01-23T06:33:09,SES-2023-0061,323,21.58.25.104,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-02-02"", ""categorie"": ""Luxe"", ""prix_max"": 20}",13,1,filter_results
2025-04-02T22:14:04,SES-2023-1432,137,50.239.67.175,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-04-12"", ""categorie"": ""Sport"", ""prix_max"": 20}",25,1,view_results
2025-02-17T07:15:54,SES-2023-0387,243,13.83.151.160,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-02-27"", ""categorie"": ""Gastronomie""}",13,1,view_results
2025-03-14T22:11:58,SES-2023-0665,45,118.188.209.57,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Strasbourg,"{""date"": ""2025-03-24"", ""categorie"": ""Luxe""}",16,1,filter_results
2025-05-31T15:39:16,SES-2023-0816,422,194.240.11.204,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Toulouse,"{""date"": ""2025-06-10"", ""categorie"": ""Famille"", ""prix_max"": 30}",18,1,view_results
2025-04-18T05:01:49,SES-2023-0170,199,135.234.21.130,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Toulouse,"{""date"": ""2025-04-28"", ""categorie"": ""Gastronomie"", ""prix_max"": 50}",12,1,filter_results
2025-01-05T21:20:26,SES-2023-1491,31,24.233.19.112,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Toulouse,"{""date"": ""2025-01-15"", ""categorie"": ""Sport""}",19,1,filter_results
2025-04-28T09:23:49,SES-2023-0899,24,114.119.78.8,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-05-08"", ""categorie"": ""Luxe""}",16,1,view_results
2025-01-04T09:41:42,SES-2023-1017,194,218.241.223.255,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lyon,"{""date"": ""2025-01-14"", ""categorie"": ""Nature""}",12,1,view_results
2024-12-27T16:52:22,SES-2023-0372,325,24.182.235.112,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Lille,"{""date"": ""2025-01-06"", ""categorie"": ""Nature""}",18,1,filter_results
2024-12-20T16:37:39,SES-2023-1189,349,173.121.91.69,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Strasbourg,"{""date"": ""2024-12-30"", ""categorie"": ""Nature""}",27,1,view_results
2025-02-07T19:22:24,SES-2023-0851,458,2.68.95.14,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-02-17"", ""categorie"": ""Gastronomie""}",30,1,filter_results
2025-04-08T08:36:04,SES-2023-0679,296,184.33.68.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-04-18"", ""categorie"": ""Luxe"", ""prix_max"": 50}",21,1,filter_results
2025-05-17T17:21:01,SES-2023-0835,321,29.120.153.239,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-05-27"", ""categorie"": ""Gastronomie""}",30,1,view_results
2025-05-30T12:44:27,SES-2023-0287,107,105.179.97.1,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-06-09"", ""categorie"": ""Sport""}",10,1,filter_results
2025-05-15T03:58:09,SES-2023-1453,109,139.169.30.66,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Strasbourg,"{""date"": ""2025-05-25"", ""categorie"": ""Culture""}",7,1,view_results
2025-04-23T08:55:47,SES-2023-0822,2,96.76.111.210,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-05-03"", ""categorie"": ""Gastronomie""}",5,1,filter_results
2024-12-30T17:54:50,SES-2023-1042,91,153.74.98.3,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-01-09"", ""categorie"": ""Luxe"", ""prix_max"": 10}",7,1,view_results
2025-01-21T10:44:16,SES-2023-0581,279,144.182.49.72,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2025-01-31"", ""categorie"": ""Nature""}",15,1,view_results
2025-02-14T16:03:08,SES-2023-1098,476,121.169.204.75,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-02-24"", ""categorie"": ""Famille"", ""prix_max"": 20}",13,1,view_results
2025-04-26T14:34:07,SES-2023-1178,465,184.13.214.88,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Toulouse,"{""date"": ""2025-05-06"", ""categorie"": ""Nature""}",30,1,filter_results
2025-02-06T23:11:01,SES-2023-1246,244,117.5.241.196,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-02-16"", ""categorie"": ""Famille""}",15,1,filter_results
2025-02-20T19:20:20,SES-2023-0343,321,112.215.242.65,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Chamonix,"{""date"": ""2025-03-02"", ""categorie"": ""Nature"", ""prix_max"": 50}",15,1,view_results
2025-04-03T06:18:07,SES-2023-0951,242,119.134.82.85,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2025-04-13"", ""categorie"": ""Nature""}",21,1,view_results
2025-04-02T05:38:23,SES-2023-1193,363,53.156.119.54,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Strasbourg,"{""date"": ""2025-04-12"", ""categorie"": ""Luxe""}",24,1,view_results
2025-05-06T16:10:14,SES-2023-0499,49,202.23.159.218,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-05-16"", ""categorie"": ""Famille""}",17,1,filter_results
2025-04-12T11:41:20,SES-2023-1135,310,147.147.28.2,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-04-22"", ""categorie"": ""Sport"", ""prix_max"": 20}",22,1,view_results
2025-02-15T12:20:52,SES-2023-0620,183,222.223.193.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-02-25"", ""categorie"": ""Nature""}",8,1,filter_results
2025-01-02T11:36:40,SES-2023-1143,438,130.14.24.250,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-01-12"", ""categorie"": ""Culture"", ""prix_max"": 50}",14,1,view_results
2025-03-26T08:36:21,SES-2023-1097,256,196.180.15.236,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-04-05"", ""categorie"": ""Culture""}",20,1,view_results
