date_log,location,temperature,precipitation,weather_condition
2023-01-01,Paris,22.5,0.8,nuageux
2023-01-01,Lyon,23.2,3.3,ensoleillé
2023-01-01,Marseille,18.8,0.6,ensoleillé
2023-01-01,Nice,27.9,2.2,ensoleillé
2023-01-01,Bordeaux,17.7,1.8,pluie
2023-01-01,Toulouse,17.7,0.3,nuageux
2023-01-01,Lille,21.2,0.0,pluie
2023-01-01,Strasbourg,11.4,0.2,ensoleillé
2023-01-01,Nantes,14.9,1.5,nuageux
2023-01-01,Chamonix,15.5,0.0,ensoleillé
2023-01-02,Paris,27.3,0.7,ensoleillé
2023-01-02,Lyon,20.3,0.0,nuageux
2023-01-02,Marseille,17.3,1.2,ensoleillé
2023-01-02,Nice,14.2,1.6,ensoleillé
2023-01-02,Bordeaux,17.0,0.6,nuageux
2023-01-02,Toulouse,17.0,3.8,nuageux
2023-01-02,Lille,19.9,0.0,ensoleillé
2023-01-02,Strasbourg,24.1,0.0,nuageux
2023-01-02,Nantes,21.0,0.0,pluie
2023-01-02,Chamonix,13.4,1.3,ensoleillé
2023-01-03,Paris,23.7,1.3,pluie
2023-01-03,Lyon,19.4,0.5,nuageux
2023-01-03,Marseille,12.6,0.0,ensoleillé
2023-01-03,Nice,17.7,2.6,ensoleillé
2023-01-03,Bordeaux,21.7,0.0,neige
2023-01-03,Toulouse,21.6,0.4,ensoleillé
2023-01-03,Lille,16.6,1.9,ensoleillé
2023-01-03,Strasbourg,25.2,2.4,ensoleillé
2023-01-03,Nantes,15.8,0.5,pluie
2023-01-03,Chamonix,21.7,2.5,nuageux
2023-01-04,Paris,17.6,0.7,pluie
2023-01-04,Lyon,14.5,0.0,pluie
2023-01-04,Marseille,24.1,3.0,nuageux
2023-01-04,Nice,19.6,2.5,neige
2023-01-04,Bordeaux,21.8,0.0,ensoleillé
2023-01-04,Toulouse,21.8,3.3,nuageux
2023-01-04,Lille,19.8,3.3,pluie
2023-01-04,Strasbourg,6.9,2.2,nuageux
2023-01-04,Nantes,20.4,0.6,pluie
2023-01-04,Chamonix,20.5,0.0,nuageux
2023-01-05,Paris,18.9,1.5,pluie
2023-01-05,Lyon,27.4,0.2,ensoleillé
2023-01-05,Marseille,16.0,0.2,ensoleillé
2023-01-05,Nice,24.6,1.5,ensoleillé
2023-01-05,Bordeaux,17.4,1.8,ensoleillé
2023-01-05,Toulouse,20.5,2.5,ensoleillé
2023-01-05,Lille,16.5,0.5,ensoleillé
2023-01-05,Strasbourg,18.0,0.0,ensoleillé
2023-01-05,Nantes,21.5,1.4,nuageux
2023-01-05,Chamonix,20.0,0.6,ensoleillé
2023-01-06,Paris,12.9,0.4,ensoleillé
2023-01-06,Lyon,18.3,0.0,ensoleillé
2023-01-06,Marseille,19.2,1.6,ensoleillé
2023-01-06,Nice,29.4,1.3,orage
2023-01-06,Bordeaux,21.3,0.9,nuageux
2023-01-06,Toulouse,10.4,1.0,nuageux
2023-01-06,Lille,20.3,4.7,ensoleillé
2023-01-06,Strasbourg,19.0,1.5,pluie
2023-01-06,Nantes,19.8,0.0,ensoleillé
2023-01-06,Chamonix,25.7,2.1,ensoleillé
2023-01-07,Paris,24.0,0.0,neige
2023-01-07,Lyon,27.0,0.0,nuageux
2023-01-07,Marseille,22.9,4.3,nuageux
2023-01-07,Nice,15.0,0.2,nuageux
2023-01-07,Bordeaux,20.5,0.2,pluie
2023-01-07,Toulouse,12.2,1.1,pluie
2023-01-07,Lille,14.7,1.7,ensoleillé
2023-01-07,Strasbourg,15.4,3.3,ensoleillé
2023-01-07,Nantes,16.1,0.5,ensoleillé
2023-01-07,Chamonix,24.1,0.0,ensoleillé
2023-01-08,Paris,21.1,3.0,ensoleillé
2023-01-08,Lyon,12.0,1.3,orage
2023-01-08,Marseille,21.3,2.2,pluie
2023-01-08,Nice,13.8,0.0,ensoleillé
2023-01-08,Bordeaux,22.6,1.4,nuageux
2023-01-08,Toulouse,21.3,1.5,ensoleillé
2023-01-08,Lille,16.6,1.3,orage
2023-01-08,Strasbourg,21.5,0.0,nuageux
2023-01-08,Nantes,29.3,1.7,ensoleillé
2023-01-08,Chamonix,14.0,2.0,ensoleillé
2023-01-09,Paris,15.1,2.2,nuageux
2023-01-09,Lyon,25.8,0.0,ensoleillé
2023-01-09,Marseille,24.8,1.6,nuageux
2023-01-09,Nice,24.1,3.8,pluie
2023-01-09,Bordeaux,18.8,0.0,ensoleillé
2023-01-09,Toulouse,15.6,0.0,ensoleillé
2023-01-09,Lille,19.6,1.5,neige
2023-01-09,Strasbourg,21.4,2.2,nuageux
2023-01-09,Nantes,20.1,3.2,ensoleillé
2023-01-09,Chamonix,18.7,5.1,ensoleillé
2023-01-10,Paris,23.1,0.0,ensoleillé
2023-01-10,Lyon,14.6,1.7,nuageux
2023-01-10,Marseille,18.9,2.1,pluie
2023-01-10,Nice,22.4,0.9,nuageux
